sender,subject,message,content,label
reward@np-prize-claim.test,Unusual login detected,Security alert. Update password within 24 hours,From: reward@np-prize-claim.test Subject: Unusual login detected Security alert. Update password within 24 hours. Click http://np-prize-claim.test/login/4111 and submit password OTP PIN card details.,1
billing@city-services.example,Meeting notes,Class starts tomorrow. Please bring your notebook.,From: billing@city-services.example Subject: Meeting notes Class starts tomorrow. Please bring your notebook. Link: https://city-services.example/receipt/3781,0
support@10.8.4.22,Unusual login detected,Customs fee pending. Pay now to release your parcel,From: support@10.8.4.22 Subject: Unusual login detected Customs fee pending. Pay now to release your parcel. Click http://10.8.4.22/login/4353 and submit password OTP PIN card details.,1
billing@university.edu.np,Appointment reminder,Class starts tomorrow. Please bring your notebook.,From: billing@university.edu.np Subject: Appointment reminder Class starts tomorrow. Please bring your notebook. Link: https://university.edu.np/help/3623,0
support@192.168.45.12,Urgent account verification required,KYC expired. Confirm wallet PIN and OTP to continue,From: support@192.168.45.12 Subject: Urgent account verification required KYC expired. Confirm wallet PIN and OTP to continue. Click http://192.168.45.12/login/4292 and submit password OTP PIN card details.,1
noreply@company-intranet.example,Appointment reminder,Your appointment is confirmed for Friday at 10:00 AM.,From: noreply@company-intranet.example Subject: Appointment reminder Your appointment is confirmed for Friday at 10:00 AM. Link: https://company-intranet.example/receipt/3625,0
support@docs.djangoproject.com,Meeting notes,Thank you for your payment. No further action is required.,From: support@docs.djangoproject.com Subject: Meeting notes Thank you for your payment. No further action is required. Link: https://docs.djangoproject.com/receipt/3973,0
billing@ird.gov.np,Project status summary,Thank you for your payment. No further action is required.,From: billing@ird.gov.np Subject: Project status summary Thank you for your payment. No further action is required. Link: https://ird.gov.np/receipt/3906,0
verify@192.168.45.12,Urgent account verification required,Customs fee pending. Pay now to release your parcel,From: verify@192.168.45.12 Subject: Urgent account verification required Customs fee pending. Pay now to release your parcel. Click http://192.168.45.12/verify/4059 and submit password OTP PIN card details.,1
verify@192.168.45.12,Refund failed: update card now,"Congratulations, you won a cash prize. Claim reward immediately","From: verify@192.168.45.12 Subject: Refund failed: update card now Congratulations, you won a cash prize. Claim reward immediately. Click http://192.168.45.12/login/4870 and submit password OTP PIN card details.",1
admin@docs.djangoproject.com,Project status summary,The invoice has been received and marked paid.,From: admin@docs.djangoproject.com Subject: Project status summary The invoice has been received and marked paid. Link: https://docs.djangoproject.com/receipt/3681,0
reward@paypal-security.example.ru,Your wallet is blocked,"Congratulations, you won a cash prize. Claim reward immediately","From: reward@paypal-security.example.ru Subject: Your wallet is blocked Congratulations, you won a cash prize. Claim reward immediately. Click http://paypal-security.example.ru/login/4592 and submit password OTP PIN card details.",1
billing@ird.gov.np,Project status summary,Class starts tomorrow. Please bring your notebook.,From: billing@ird.gov.np Subject: Project status summary Class starts tomorrow. Please bring your notebook. Link: https://ird.gov.np/profile/3721,0
security@google-login.example.net,Your wallet is blocked,URGENT: your bank account is blocked. Verify login now,From: security@google-login.example.net Subject: Your wallet is blocked URGENT: your bank account is blocked. Verify login now. Click http://google-login.example.net/login/4973 and submit password OTP PIN card details.,1
security@khalti-refund.test,Prize claim pending,KYC expired. Confirm wallet PIN and OTP to continue,From: security@khalti-refund.test Subject: Prize claim pending KYC expired. Confirm wallet PIN and OTP to continue. Click http://khalti-refund.test/claim/4781 and submit password OTP PIN card details.,1
reward@esewa-bonus-claim.test,Refund failed: update card now,Refund failed. Enter card details to receive money,From: reward@esewa-bonus-claim.test Subject: Refund failed: update card now Refund failed. Enter card details to receive money. Click http://esewa-bonus-claim.test/login/4063 and submit password OTP PIN card details.,1
reward@google-login.example.net,Unusual login detected,Refund failed. Enter card details to receive money,From: reward@google-login.example.net Subject: Unusual login detected Refund failed. Enter card details to receive money. Click http://google-login.example.net/verify/4102 and submit password OTP PIN card details.,1
verify@192.168.45.12,Urgent account verification required,"Congratulations, you won a cash prize. Claim reward immediately","From: verify@192.168.45.12 Subject: Urgent account verification required Congratulations, you won a cash prize. Claim reward immediately. Click http://192.168.45.12/claim/4191 and submit password OTP PIN card details.",1
support@esewa-bonus-claim.test,Final warning: confirm your password,Security alert. Update password within 24 hours,From: support@esewa-bonus-claim.test Subject: Final warning: confirm your password Security alert. Update password within 24 hours. Click http://esewa-bonus-claim.test/login/4367 and submit password OTP PIN card details.,1
noreply@ird.gov.np,Project status summary,Your delivery is scheduled for tomorrow afternoon.,From: noreply@ird.gov.np Subject: Project status summary Your delivery is scheduled for tomorrow afternoon. Link: https://ird.gov.np/receipt/3415,0
support@store-receipts.example,Meeting notes,Thank you for your payment. No further action is required.,From: support@store-receipts.example Subject: Meeting notes Thank you for your payment. No further action is required. Link: https://store-receipts.example/help/3661,0
billing@docs.djangoproject.com,Monthly statement is available,The invoice has been received and marked paid.,From: billing@docs.djangoproject.com Subject: Monthly statement is available The invoice has been received and marked paid. Link: https://docs.djangoproject.com/help/3886,0
noreply@khanacademy.org,Project status summary,Thank you for your payment. No further action is required.,From: noreply@khanacademy.org Subject: Project status summary Thank you for your payment. No further action is required. Link: https://khanacademy.org/receipt/3893,0
security@bank-support-update.test,Refund failed: update card now,KYC expired. Confirm wallet PIN and OTP to continue,From: security@bank-support-update.test Subject: Refund failed: update card now KYC expired. Confirm wallet PIN and OTP to continue. Click http://bank-support-update.test/verify/4542 and submit password OTP PIN card details.,1
admin@university.edu.np,Project status summary,Thank you for your payment. No further action is required.,From: admin@university.edu.np Subject: Project status summary Thank you for your payment. No further action is required. Link: https://university.edu.np/help/3444,0
verify@khalti-refund.test,Final warning: confirm your password,"Congratulations, you won a cash prize. Claim reward immediately","From: verify@khalti-refund.test Subject: Final warning: confirm your password Congratulations, you won a cash prize. Claim reward immediately. Click http://khalti-refund.test/claim/4454 and submit password OTP PIN card details.",1
support@wikipedia.org,Receipt for your recent purchase,Your delivery is scheduled for tomorrow afternoon.,From: support@wikipedia.org Subject: Receipt for your recent purchase Your delivery is scheduled for tomorrow afternoon. Link: https://wikipedia.org/profile/3145,0
support@google-login.example.net,Final warning: confirm your password,URGENT: your bank account is blocked. Verify login now,From: support@google-login.example.net Subject: Final warning: confirm your password URGENT: your bank account is blocked. Verify login now. Click http://google-login.example.net/claim/4736 and submit password OTP PIN card details.,1
noreply@wikipedia.org,Monthly statement is available,Your OTP is 123456. Do not share it with anyone.,From: noreply@wikipedia.org Subject: Monthly statement is available Your OTP is 123456. Do not share it with anyone. Link: https://wikipedia.org/receipt/3685,0
support@np-prize-claim.test,Unusual login detected,Security alert. Update password within 24 hours,From: support@np-prize-claim.test Subject: Unusual login detected Security alert. Update password within 24 hours. Click http://np-prize-claim.test/claim/4259 and submit password OTP PIN card details.,1
verify@google-login.example.net,Your wallet is blocked,KYC expired. Confirm wallet PIN and OTP to continue,From: verify@google-login.example.net Subject: Your wallet is blocked KYC expired. Confirm wallet PIN and OTP to continue. Click http://google-login.example.net/login/4195 and submit password OTP PIN card details.,1
support@wikipedia.org,Password changed successfully,The invoice has been received and marked paid.,From: support@wikipedia.org Subject: Password changed successfully The invoice has been received and marked paid. Link: https://wikipedia.org/profile/3291,0
support@store-receipts.example,Monthly statement is available,The invoice has been received and marked paid.,From: support@store-receipts.example Subject: Monthly statement is available The invoice has been received and marked paid. Link: https://store-receipts.example/profile/3017,0
billing@library.example,Course update,Class starts tomorrow. Please bring your notebook.,From: billing@library.example Subject: Course update Class starts tomorrow. Please bring your notebook. Link: https://library.example/receipt/3743,0
admin@mozilla.org,Library book reminder,Thank you for your payment. No further action is required.,From: admin@mozilla.org Subject: Library book reminder Thank you for your payment. No further action is required. Link: https://mozilla.org/receipt/3141,0
security@np-prize-claim.test,Prize claim pending,Customs fee pending. Pay now to release your parcel,From: security@np-prize-claim.test Subject: Prize claim pending Customs fee pending. Pay now to release your parcel. Click http://np-prize-claim.test/verify/4420 and submit password OTP PIN card details.,1
admin@mozilla.org,Library book reminder,Your delivery is scheduled for tomorrow afternoon.,From: admin@mozilla.org Subject: Library book reminder Your delivery is scheduled for tomorrow afternoon. Link: https://mozilla.org/profile/3249,0
billing@ird.gov.np,Meeting notes,Thank you for your payment. No further action is required.,From: billing@ird.gov.np Subject: Meeting notes Thank you for your payment. No further action is required. Link: https://ird.gov.np/help/3370,0
admin@wikipedia.org,Meeting notes,Class starts tomorrow. Please bring your notebook.,From: admin@wikipedia.org Subject: Meeting notes Class starts tomorrow. Please bring your notebook. Link: https://wikipedia.org/profile/3822,0
admin@wikipedia.org,Project status summary,The invoice has been received and marked paid.,From: admin@wikipedia.org Subject: Project status summary The invoice has been received and marked paid. Link: https://wikipedia.org/receipt/3333,0
admin@nepalbank.com.np,Course update,Your appointment is confirmed for Friday at 10:00 AM.,From: admin@nepalbank.com.np Subject: Course update Your appointment is confirmed for Friday at 10:00 AM. Link: https://nepalbank.com.np/help/3225,0
noreply@hospital.org.np,Password changed successfully,Your OTP is 123456. Do not share it with anyone.,From: noreply@hospital.org.np Subject: Password changed successfully Your OTP is 123456. Do not share it with anyone. Link: https://hospital.org.np/profile/3913,0
noreply@hospital.org.np,Library book reminder,Your OTP is 123456. Do not share it with anyone.,From: noreply@hospital.org.np Subject: Library book reminder Your OTP is 123456. Do not share it with anyone. Link: https://hospital.org.np/receipt/3233,0
support@docs.djangoproject.com,Receipt for your recent purchase,The invoice has been received and marked paid.,From: support@docs.djangoproject.com Subject: Receipt for your recent purchase The invoice has been received and marked paid. Link: https://docs.djangoproject.com/profile/3575,0
billing@store-receipts.example,Project status summary,The invoice has been received and marked paid.,From: billing@store-receipts.example Subject: Project status summary The invoice has been received and marked paid. Link: https://store-receipts.example/receipt/3316,0
billing@coursera.org,Project status summary,Your delivery is scheduled for tomorrow afternoon.,From: billing@coursera.org Subject: Project status summary Your delivery is scheduled for tomorrow afternoon. Link: https://coursera.org/profile/3932,0
noreply@company-intranet.example,Receipt for your recent purchase,The invoice has been received and marked paid.,From: noreply@company-intranet.example Subject: Receipt for your recent purchase The invoice has been received and marked paid. Link: https://company-intranet.example/profile/3178,0
verify@account-verify-now.test,Final warning: confirm your password,Security alert. Update password within 24 hours,From: verify@account-verify-now.test Subject: Final warning: confirm your password Security alert. Update password within 24 hours. Click http://account-verify-now.test/verify/4379 and submit password OTP PIN card details.,1
noreply@ird.gov.np,Meeting notes,Your delivery is scheduled for tomorrow afternoon.,From: noreply@ird.gov.np Subject: Meeting notes Your delivery is scheduled for tomorrow afternoon. Link: https://ird.gov.np/help/3031,0
billing@nrb.org.np,Course update,Thank you for your payment. No further action is required.,From: billing@nrb.org.np Subject: Course update Thank you for your payment. No further action is required. Link: https://nrb.org.np/help/3427,0
admin@city-services.example,Appointment reminder,Your OTP is 123456. Do not share it with anyone.,From: admin@city-services.example Subject: Appointment reminder Your OTP is 123456. Do not share it with anyone. Link: https://city-services.example/receipt/3468,0
admin@github.com,Meeting notes,Your appointment is confirmed for Friday at 10:00 AM.,From: admin@github.com Subject: Meeting notes Your appointment is confirmed for Friday at 10:00 AM. Link: https://github.com/help/3120,0
verify@wallet-kyc-alert.test,Unusual login detected,"Congratulations, you won a cash prize. Claim reward immediately","From: verify@wallet-kyc-alert.test Subject: Unusual login detected Congratulations, you won a cash prize. Claim reward immediately. Click http://wallet-kyc-alert.test/login/4025 and submit password OTP PIN card details.",1
billing@khanacademy.org,Library book reminder,Class starts tomorrow. Please bring your notebook.,From: billing@khanacademy.org Subject: Library book reminder Class starts tomorrow. Please bring your notebook. Link: https://khanacademy.org/receipt/3158,0
verify@10.8.4.22,Final warning: confirm your password,KYC expired. Confirm wallet PIN and OTP to continue,From: verify@10.8.4.22 Subject: Final warning: confirm your password KYC expired. Confirm wallet PIN and OTP to continue. Click http://10.8.4.22/verify/4752 and submit password OTP PIN card details.,1
support@bank-support-update.test,Unusual login detected,KYC expired. Confirm wallet PIN and OTP to continue,From: support@bank-support-update.test Subject: Unusual login detected KYC expired. Confirm wallet PIN and OTP to continue. Click http://bank-support-update.test/login/4449 and submit password OTP PIN card details.,1
support@10.8.4.22,Your wallet is blocked,Refund failed. Enter card details to receive money,From: support@10.8.4.22 Subject: Your wallet is blocked Refund failed. Enter card details to receive money. Click http://10.8.4.22/login/4010 and submit password OTP PIN card details.,1
security@secure-login-check.test,Unusual login detected,Refund failed. Enter card details to receive money,From: security@secure-login-check.test Subject: Unusual login detected Refund failed. Enter card details to receive money. Click http://secure-login-check.test/verify/4703 and submit password OTP PIN card details.,1
noreply@nepalbank.com.np,Appointment reminder,Your OTP is 123456. Do not share it with anyone.,From: noreply@nepalbank.com.np Subject: Appointment reminder Your OTP is 123456. Do not share it with anyone. Link: https://nepalbank.com.np/receipt/3718,0
reward@secure-login-check.test,Refund failed: update card now,"Congratulations, you won a cash prize. Claim reward immediately","From: reward@secure-login-check.test Subject: Refund failed: update card now Congratulations, you won a cash prize. Claim reward immediately. Click http://secure-login-check.test/login/4143 and submit password OTP PIN card details.",1
noreply@nrb.org.np,Receipt for your recent purchase,Thank you for your payment. No further action is required.,From: noreply@nrb.org.np Subject: Receipt for your recent purchase Thank you for your payment. No further action is required. Link: https://nrb.org.np/receipt/3573,0
noreply@nepalbank.com.np,Library book reminder,The invoice has been received and marked paid.,From: noreply@nepalbank.com.np Subject: Library book reminder The invoice has been received and marked paid. Link: https://nepalbank.com.np/profile/3577,0
billing@city-services.example,Appointment reminder,The invoice has been received and marked paid.,From: billing@city-services.example Subject: Appointment reminder The invoice has been received and marked paid. Link: https://city-services.example/help/3413,0
reward@esewa-bonus-claim.test,Final warning: confirm your password,KYC expired. Confirm wallet PIN and OTP to continue,From: reward@esewa-bonus-claim.test Subject: Final warning: confirm your password KYC expired. Confirm wallet PIN and OTP to continue. Click http://esewa-bonus-claim.test/claim/4053 and submit password OTP PIN card details.,1
security@khalti-refund.test,Refund failed: update card now,Customs fee pending. Pay now to release your parcel,From: security@khalti-refund.test Subject: Refund failed: update card now Customs fee pending. Pay now to release your parcel. Click http://khalti-refund.test/claim/4642 and submit password OTP PIN card details.,1
billing@hospital.org.np,Monthly statement is available,The invoice has been received and marked paid.,From: billing@hospital.org.np Subject: Monthly statement is available The invoice has been received and marked paid. Link: https://hospital.org.np/help/3676,0
support@mozilla.org,Password changed successfully,The invoice has been received and marked paid.,From: support@mozilla.org Subject: Password changed successfully The invoice has been received and marked paid. Link: https://mozilla.org/help/3228,0
support@nepalbank.com.np,Appointment reminder,The invoice has been received and marked paid.,From: support@nepalbank.com.np Subject: Appointment reminder The invoice has been received and marked paid. Link: https://nepalbank.com.np/profile/3898,0
security@np-prize-claim.test,Unusual login detected,Security alert. Update password within 24 hours,From: security@np-prize-claim.test Subject: Unusual login detected Security alert. Update password within 24 hours. Click http://np-prize-claim.test/claim/4240 and submit password OTP PIN card details.,1
verify@secure-login-check.test,Urgent account verification required,Refund failed. Enter card details to receive money,From: verify@secure-login-check.test Subject: Urgent account verification required Refund failed. Enter card details to receive money. Click http://secure-login-check.test/verify/4718 and submit password OTP PIN card details.,1
verify@google-login.example.net,Refund failed: update card now,Customs fee pending. Pay now to release your parcel,From: verify@google-login.example.net Subject: Refund failed: update card now Customs fee pending. Pay now to release your parcel. Click http://google-login.example.net/login/4171 and submit password OTP PIN card details.,1
security@wallet-kyc-alert.test,Unusual login detected,Security alert. Update password within 24 hours,From: security@wallet-kyc-alert.test Subject: Unusual login detected Security alert. Update password within 24 hours. Click http://wallet-kyc-alert.test/verify/4611 and submit password OTP PIN card details.,1
verify@10.8.4.22,Unusual login detected,KYC expired. Confirm wallet PIN and OTP to continue,From: verify@10.8.4.22 Subject: Unusual login detected KYC expired. Confirm wallet PIN and OTP to continue. Click http://10.8.4.22/verify/4916 and submit password OTP PIN card details.,1
reward@bank-support-update.test,Prize claim pending,Refund failed. Enter card details to receive money,From: reward@bank-support-update.test Subject: Prize claim pending Refund failed. Enter card details to receive money. Click http://bank-support-update.test/login/4730 and submit password OTP PIN card details.,1
verify@wallet-kyc-alert.test,Urgent account verification required,URGENT: your bank account is blocked. Verify login now,From: verify@wallet-kyc-alert.test Subject: Urgent account verification required URGENT: your bank account is blocked. Verify login now. Click http://wallet-kyc-alert.test/login/4067 and submit password OTP PIN card details.,1
reward@delivery-fee-pay.test,Unusual login detected,Customs fee pending. Pay now to release your parcel,From: reward@delivery-fee-pay.test Subject: Unusual login detected Customs fee pending. Pay now to release your parcel. Click http://delivery-fee-pay.test/claim/4539 and submit password OTP PIN card details.,1
reward@esewa-bonus-claim.test,Urgent account verification required,URGENT: your bank account is blocked. Verify login now,From: reward@esewa-bonus-claim.test Subject: Urgent account verification required URGENT: your bank account is blocked. Verify login now. Click http://esewa-bonus-claim.test/login/4957 and submit password OTP PIN card details.,1
noreply@nrb.org.np,Course update,Thank you for your payment. No further action is required.,From: noreply@nrb.org.np Subject: Course update Thank you for your payment. No further action is required. Link: https://nrb.org.np/help/3805,0
noreply@city-services.example,Appointment reminder,Thank you for your payment. No further action is required.,From: noreply@city-services.example Subject: Appointment reminder Thank you for your payment. No further action is required. Link: https://city-services.example/receipt/3105,0
reward@bank-support-update.test,Refund failed: update card now,Security alert. Update password within 24 hours,From: reward@bank-support-update.test Subject: Refund failed: update card now Security alert. Update password within 24 hours. Click http://bank-support-update.test/claim/4856 and submit password OTP PIN card details.,1
billing@hospital.org.np,Appointment reminder,Class starts tomorrow. Please bring your notebook.,From: billing@hospital.org.np Subject: Appointment reminder Class starts tomorrow. Please bring your notebook. Link: https://hospital.org.np/profile/3338,0
billing@store-receipts.example,Receipt for your recent purchase,Class starts tomorrow. Please bring your notebook.,From: billing@store-receipts.example Subject: Receipt for your recent purchase Class starts tomorrow. Please bring your notebook. Link: https://store-receipts.example/profile/3150,0
reward@delivery-fee-pay.test,Prize claim pending,Refund failed. Enter card details to receive money,From: reward@delivery-fee-pay.test Subject: Prize claim pending Refund failed. Enter card details to receive money. Click http://delivery-fee-pay.test/verify/4501 and submit password OTP PIN card details.,1
support@khanacademy.org,Monthly statement is available,Thank you for your payment. No further action is required.,From: support@khanacademy.org Subject: Monthly statement is available Thank you for your payment. No further action is required. Link: https://khanacademy.org/help/3582,0
support@docs.djangoproject.com,Library book reminder,Your appointment is confirmed for Friday at 10:00 AM.,From: support@docs.djangoproject.com Subject: Library book reminder Your appointment is confirmed for Friday at 10:00 AM. Link: https://docs.djangoproject.com/receipt/3923,0
billing@khanacademy.org,Appointment reminder,Your delivery is scheduled for tomorrow afternoon.,From: billing@khanacademy.org Subject: Appointment reminder Your delivery is scheduled for tomorrow afternoon. Link: https://khanacademy.org/help/3393,0
reward@esewa-bonus-claim.test,Prize claim pending,"Congratulations, you won a cash prize. Claim reward immediately","From: reward@esewa-bonus-claim.test Subject: Prize claim pending Congratulations, you won a cash prize. Claim reward immediately. Click http://esewa-bonus-claim.test/login/4162 and submit password OTP PIN card details.",1
reward@google-login.example.net,Final warning: confirm your password,Customs fee pending. Pay now to release your parcel,From: reward@google-login.example.net Subject: Final warning: confirm your password Customs fee pending. Pay now to release your parcel. Click http://google-login.example.net/verify/4446 and submit password OTP PIN card details.,1
reward@khalti-refund.test,Prize claim pending,Customs fee pending. Pay now to release your parcel,From: reward@khalti-refund.test Subject: Prize claim pending Customs fee pending. Pay now to release your parcel. Click http://khalti-refund.test/verify/4829 and submit password OTP PIN card details.,1
verify@khalti-refund.test,Unusual login detected,URGENT: your bank account is blocked. Verify login now,From: verify@khalti-refund.test Subject: Unusual login detected URGENT: your bank account is blocked. Verify login now. Click http://khalti-refund.test/verify/4384 and submit password OTP PIN card details.,1
verify@192.168.45.12,Refund failed: update card now,URGENT: your bank account is blocked. Verify login now,From: verify@192.168.45.12 Subject: Refund failed: update card now URGENT: your bank account is blocked. Verify login now. Click http://192.168.45.12/login/4156 and submit password OTP PIN card details.,1
verify@wallet-kyc-alert.test,Your wallet is blocked,URGENT: your bank account is blocked. Verify login now,From: verify@wallet-kyc-alert.test Subject: Your wallet is blocked URGENT: your bank account is blocked. Verify login now. Click http://wallet-kyc-alert.test/verify/4160 and submit password OTP PIN card details.,1
support@store-receipts.example,Monthly statement is available,Your delivery is scheduled for tomorrow afternoon.,From: support@store-receipts.example Subject: Monthly statement is available Your delivery is scheduled for tomorrow afternoon. Link: https://store-receipts.example/help/3091,0
noreply@store-receipts.example,Appointment reminder,Class starts tomorrow. Please bring your notebook.,From: noreply@store-receipts.example Subject: Appointment reminder Class starts tomorrow. Please bring your notebook. Link: https://store-receipts.example/help/3467,0
noreply@university.edu.np,Password changed successfully,Class starts tomorrow. Please bring your notebook.,From: noreply@university.edu.np Subject: Password changed successfully Class starts tomorrow. Please bring your notebook. Link: https://university.edu.np/receipt/3951,0
billing@openai.com,Project status summary,Your OTP is 123456. Do not share it with anyone.,From: billing@openai.com Subject: Project status summary Your OTP is 123456. Do not share it with anyone. Link: https://openai.com/receipt/3619,0
billing@ird.gov.np,Password changed successfully,Your delivery is scheduled for tomorrow afternoon.,From: billing@ird.gov.np Subject: Password changed successfully Your delivery is scheduled for tomorrow afternoon. Link: https://ird.gov.np/profile/3657,0
billing@openai.com,Project status summary,Thank you for your payment. No further action is required.,From: billing@openai.com Subject: Project status summary Thank you for your payment. No further action is required. Link: https://openai.com/profile/3964,0
billing@university.edu.np,Course update,Your appointment is confirmed for Friday at 10:00 AM.,From: billing@university.edu.np Subject: Course update Your appointment is confirmed for Friday at 10:00 AM. Link: https://university.edu.np/help/3303,0
support@wallet-kyc-alert.test,Refund failed: update card now,KYC expired. Confirm wallet PIN and OTP to continue,From: support@wallet-kyc-alert.test Subject: Refund failed: update card now KYC expired. Confirm wallet PIN and OTP to continue. Click http://wallet-kyc-alert.test/verify/4954 and submit password OTP PIN card details.,1
support@bank-support-update.test,Final warning: confirm your password,KYC expired. Confirm wallet PIN and OTP to continue,From: support@bank-support-update.test Subject: Final warning: confirm your password KYC expired. Confirm wallet PIN and OTP to continue. Click http://bank-support-update.test/claim/4072 and submit password OTP PIN card details.,1
noreply@hospital.org.np,Project status summary,Your delivery is scheduled for tomorrow afternoon.,From: noreply@hospital.org.np Subject: Project status summary Your delivery is scheduled for tomorrow afternoon. Link: https://hospital.org.np/help/3686,0
support@khalti-refund.test,Prize claim pending,URGENT: your bank account is blocked. Verify login now,From: support@khalti-refund.test Subject: Prize claim pending URGENT: your bank account is blocked. Verify login now. Click http://khalti-refund.test/login/4761 and submit password OTP PIN card details.,1
verify@google-login.example.net,Final warning: confirm your password,Refund failed. Enter card details to receive money,From: verify@google-login.example.net Subject: Final warning: confirm your password Refund failed. Enter card details to receive money. Click http://google-login.example.net/claim/4562 and submit password OTP PIN card details.,1
security@esewa-bonus-claim.test,Unusual login detected,KYC expired. Confirm wallet PIN and OTP to continue,From: security@esewa-bonus-claim.test Subject: Unusual login detected KYC expired. Confirm wallet PIN and OTP to continue. Click http://esewa-bonus-claim.test/verify/4166 and submit password OTP PIN card details.,1
security@secure-login-check.test,Refund failed: update card now,URGENT: your bank account is blocked. Verify login now,From: security@secure-login-check.test Subject: Refund failed: update card now URGENT: your bank account is blocked. Verify login now. Click http://secure-login-check.test/login/4759 and submit password OTP PIN card details.,1
support@wikipedia.org,Library book reminder,Your OTP is 123456. Do not share it with anyone.,From: support@wikipedia.org Subject: Library book reminder Your OTP is 123456. Do not share it with anyone. Link: https://wikipedia.org/profile/3586,0
support@coursera.org,Monthly statement is available,Your appointment is confirmed for Friday at 10:00 AM.,From: support@coursera.org Subject: Monthly statement is available Your appointment is confirmed for Friday at 10:00 AM. Link: https://coursera.org/help/3612,0
security@bank-support-update.test,Unusual login detected,URGENT: your bank account is blocked. Verify login now,From: security@bank-support-update.test Subject: Unusual login detected URGENT: your bank account is blocked. Verify login now. Click http://bank-support-update.test/verify/4537 and submit password OTP PIN card details.,1
security@np-prize-claim.test,Urgent account verification required,KYC expired. Confirm wallet PIN and OTP to continue,From: security@np-prize-claim.test Subject: Urgent account verification required KYC expired. Confirm wallet PIN and OTP to continue. Click http://np-prize-claim.test/login/4177 and submit password OTP PIN card details.,1
admin@docs.djangoproject.com,Course update,Thank you for your payment. No further action is required.,From: admin@docs.djangoproject.com Subject: Course update Thank you for your payment. No further action is required. Link: https://docs.djangoproject.com/profile/3596,0
noreply@mozilla.org,Meeting notes,The invoice has been received and marked paid.,From: noreply@mozilla.org Subject: Meeting notes The invoice has been received and marked paid. Link: https://mozilla.org/profile/3810,0
noreply@openai.com,Project status summary,Your OTP is 123456. Do not share it with anyone.,From: noreply@openai.com Subject: Project status summary Your OTP is 123456. Do not share it with anyone. Link: https://openai.com/profile/3463,0
admin@ird.gov.np,Password changed successfully,Your delivery is scheduled for tomorrow afternoon.,From: admin@ird.gov.np Subject: Password changed successfully Your delivery is scheduled for tomorrow afternoon. Link: https://ird.gov.np/receipt/3016,0
verify@esewa-bonus-claim.test,Prize claim pending,URGENT: your bank account is blocked. Verify login now,From: verify@esewa-bonus-claim.test Subject: Prize claim pending URGENT: your bank account is blocked. Verify login now. Click http://esewa-bonus-claim.test/verify/4244 and submit password OTP PIN card details.,1
noreply@coursera.org,Receipt for your recent purchase,Class starts tomorrow. Please bring your notebook.,From: noreply@coursera.org Subject: Receipt for your recent purchase Class starts tomorrow. Please bring your notebook. Link: https://coursera.org/profile/3587,0
admin@city-services.example,Password changed successfully,Your OTP is 123456. Do not share it with anyone.,From: admin@city-services.example Subject: Password changed successfully Your OTP is 123456. Do not share it with anyone. Link: https://city-services.example/profile/3292,0
support@google-login.example.net,Your wallet is blocked,Security alert. Update password within 24 hours,From: support@google-login.example.net Subject: Your wallet is blocked Security alert. Update password within 24 hours. Click http://google-login.example.net/claim/4175 and submit password OTP PIN card details.,1
security@wallet-kyc-alert.test,Unusual login detected,Customs fee pending. Pay now to release your parcel,From: security@wallet-kyc-alert.test Subject: Unusual login detected Customs fee pending. Pay now to release your parcel. Click http://wallet-kyc-alert.test/verify/4767 and submit password OTP PIN card details.,1
support@nepalbank.com.np,Monthly statement is available,Class starts tomorrow. Please bring your notebook.,From: support@nepalbank.com.np Subject: Monthly statement is available Class starts tomorrow. Please bring your notebook. Link: https://nepalbank.com.np/help/3594,0
support@openai.com,Appointment reminder,The invoice has been received and marked paid.,From: support@openai.com Subject: Appointment reminder The invoice has been received and marked paid. Link: https://openai.com/receipt/3578,0
verify@10.8.4.22,Unusual login detected,"Congratulations, you won a cash prize. Claim reward immediately","From: verify@10.8.4.22 Subject: Unusual login detected Congratulations, you won a cash prize. Claim reward immediately. Click http://10.8.4.22/login/4152 and submit password OTP PIN card details.",1
admin@ird.gov.np,Appointment reminder,Class starts tomorrow. Please bring your notebook.,From: admin@ird.gov.np Subject: Appointment reminder Class starts tomorrow. Please bring your notebook. Link: https://ird.gov.np/help/3519,0
admin@github.com,Receipt for your recent purchase,Your appointment is confirmed for Friday at 10:00 AM.,From: admin@github.com Subject: Receipt for your recent purchase Your appointment is confirmed for Friday at 10:00 AM. Link: https://github.com/help/3048,0
security@wallet-kyc-alert.test,Refund failed: update card now,URGENT: your bank account is blocked. Verify login now,From: security@wallet-kyc-alert.test Subject: Refund failed: update card now URGENT: your bank account is blocked. Verify login now. Click http://wallet-kyc-alert.test/verify/4496 and submit password OTP PIN card details.,1
admin@github.com,Library book reminder,Class starts tomorrow. Please bring your notebook.,From: admin@github.com Subject: Library book reminder Class starts tomorrow. Please bring your notebook. Link: https://github.com/receipt/3780,0
noreply@university.edu.np,Course update,Thank you for your payment. No further action is required.,From: noreply@university.edu.np Subject: Course update Thank you for your payment. No further action is required. Link: https://university.edu.np/receipt/3817,0
security@bank-support-update.test,Urgent account verification required,KYC expired. Confirm wallet PIN and OTP to continue,From: security@bank-support-update.test Subject: Urgent account verification required KYC expired. Confirm wallet PIN and OTP to continue. Click http://bank-support-update.test/login/4652 and submit password OTP PIN card details.,1
